Metric	isotype	subsampled	Broad_Metric	Include_Metric
V4_34_NHS_unmut__IGHG2	IGHG2	NA	V4_34_NHS_unmut	Not as complete and NHS_AVY
V4_34_NHS_unmut__IGHG3	IGHG3	NA	V4_34_NHS_unmut	Not as complete and NHS_AVY
V4_34_NHS_unmut__IGHG4	IGHG4	NA	V4_34_NHS_unmut	Not as complete and NHS_AVY
V4_34_NHS_unmut__IGHGP	IGHGP	NA	V4_34_NHS_unmut	Not as complete and NHS_AVY
V4_34_NHS_unmut__IGHM	IGHM	NA	V4_34_NHS_unmut	Not as complete and NHS_AVY
D5__IGHEP2	IGHEP2	NA	D5	0
D5__IGHGP	IGHGP	NA	D5	0
D50__IGHEP2	IGHEP2	NA	D50	0
D50__IGHGP	IGHGP	NA	D50	0
FWR3_mm__IGHA1	IGHA1	NA	FWR3_mm	0
FWR3_mm__IGHA2	IGHA2	NA	FWR3_mm	0
FWR3_mm__IGHD	IGHD	NA	FWR3_mm	0
FWR3_mm__IGHD_IGHM_mutated	NA	NA	FWR3_mm	0
FWR3_mm__IGHG1	IGHG1	NA	FWR3_mm	0
FWR3_mm__IGHG2	IGHG2	NA	FWR3_mm	0
FWR3_mm__IGHG3	IGHG3	NA	FWR3_mm	0
FWR3_mm__IGHM	IGHM	NA	FWR3_mm	0
FWR3_mm__IGHE	IGHE	NA	FWR3_mm	0
FWR3_mm__IGHG4	IGHG4	NA	FWR3_mm	0
mean_CDR_mm_per_VDJ__IGHA1	IGHA1	NA	mean_CDR_mm_per_BCR	0
mean_CDR_mm_per_VDJ__IGHA2	IGHA2	NA	mean_CDR_mm_per_BCR	0
mean_CDR_mm_per_VDJ__IGHD	IGHD	NA	mean_CDR_mm_per_BCR	0
mean_CDR_mm_per_VDJ__IGHD_IGHM_mutated	NA	NA	mean_CDR_mm_per_BCR	0
mean_CDR_mm_per_VDJ__IGHE	IGHE	NA	mean_CDR_mm_per_BCR	0
mean_CDR_mm_per_VDJ__IGHG1	IGHG1	NA	mean_CDR_mm_per_BCR	0
mean_CDR_mm_per_VDJ__IGHG2	IGHG2	NA	mean_CDR_mm_per_BCR	0
mean_CDR_mm_per_VDJ__IGHG3	IGHG3	NA	mean_CDR_mm_per_BCR	0
mean_CDR_mm_per_VDJ__IGHG4	IGHG4	NA	mean_CDR_mm_per_BCR	0
mean_CDR_mm_per_VDJ__IGHM	IGHM	NA	mean_CDR_mm_per_BCR	0
mean_FWR_mm_per_VDJ__IGHA1	IGHA1	NA	mean_FWR_mm_per_BCR	0
mean_FWR_mm_per_VDJ__IGHA2	IGHA2	NA	mean_FWR_mm_per_BCR	0
mean_FWR_mm_per_VDJ__IGHD	IGHD	NA	mean_FWR_mm_per_BCR	0
mean_FWR_mm_per_VDJ__IGHD_IGHM_mutated	NA	NA	mean_FWR_mm_per_BCR	0
mean_FWR_mm_per_VDJ__IGHE	IGHE	NA	mean_FWR_mm_per_BCR	0
mean_FWR_mm_per_VDJ__IGHG1	IGHG1	NA	mean_FWR_mm_per_BCR	0
mean_FWR_mm_per_VDJ__IGHG2	IGHG2	NA	mean_FWR_mm_per_BCR	0
mean_FWR_mm_per_VDJ__IGHG3	IGHG3	NA	mean_FWR_mm_per_BCR	0
mean_FWR_mm_per_VDJ__IGHG4	IGHG4	NA	mean_FWR_mm_per_BCR	0
mean_FWR_mm_per_VDJ__IGHM	IGHM	NA	mean_FWR_mm_per_BCR	0
m_mean_vertex_size_Subsampled__IGHA1	IGHA1	YES	m_mean_vertex_size_Subsampled	0
m_mean_vertex_size_Subsampled__IGHA2	IGHA2	YES	m_mean_vertex_size_Subsampled	0
m_mean_vertex_size_Subsampled__IGHD	IGHD	YES	m_mean_vertex_size_Subsampled	0
m_mean_vertex_size_Subsampled__IGHE	IGHE	YES	m_mean_vertex_size_Subsampled	0
m_mean_vertex_size_Subsampled__IGHG1	IGHG1	YES	m_mean_vertex_size_Subsampled	0
m_mean_vertex_size_Subsampled__IGHG2	IGHG2	YES	m_mean_vertex_size_Subsampled	0
m_mean_vertex_size_Subsampled__IGHG3	IGHG3	YES	m_mean_vertex_size_Subsampled	0
m_mean_vertex_size_Subsampled__IGHG4	IGHG4	YES	m_mean_vertex_size_Subsampled	0
m_mean_vertex_size_Subsampled__IGHM	IGHM	YES	m_mean_vertex_size_Subsampled	0
m_mean_vertex_size_Subsampled__all	all	YES	m_mean_vertex_size_Subsampled	0
